AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894036726985778,0.0,8,4,1030,5,7,76,0,0,0,0.7894036726985778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894036726985778,0.0,8,4,1030,3,6,76,0,0,0,0.7894036726985778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305184473182954,0.0,8,4,1030,4,6,78,0,0,0,0.8305184473182954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305184473182954,0.0,8,4,1030,3,6,78,0,0,0,0.8305184473182954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47190893138589,0.0,8,4,1030,2,8,78,0,0,0,1.47190893138589
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.14,1.47190893138589,0.0,7,4,1030,3,4,78,0,0,0,1.47190893138589
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.4769313855887241,0.0,7,4,1030,4,8,80,0,0,0,0.4769313855887241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.0,0.4769313855887241,0.0,7,4,1030,3,7,81,0,0,0,0.4769313855887241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.14,0.4933772954366111,0.0,7,4,1030,4,14,81,0,0,0,0.4933772954366111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.4933772954366111,0.0,7,4,1030,4,9,81,0,0,0,0.4933772954366111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989511685351991,0.0,6,3,1031,4,10,82,0,0,0,0.6989511685351991
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989511685351991,0.0,6,3,1030,4,7,82,0,0,0,0.6989511685351991
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411147746197176,0.0,6,3,1030,3,8,82,0,0,0,0.411147746197176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.411147746197176,0.0,6,3,1030,5,6,82,0,0,0,0.411147746197176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331675291436509,0.0,6,3,1030,3,8,81,0,0,0,0.6331675291436509
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331675291436509,0.0,6,3,1030,3,6,81,0,0,0,0.6331675291436509
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.9127479965577306,0.0,6,3,1030,3,5,81,0,0,0,0.9127479965577306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9127479965577306,0.0,6,3,1030,4,10,82,0,0,0,0.9127479965577306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666059348839425,0.0,6,3,1030,4,6,82,0,0,0,0.666059348839425
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.666059348839425,0.0,6,3,1030,5,7,82,0,0,0,0.666059348839425
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.6249445742197074,0.0,6,3,1030,4,8,82,0,0,0,0.6249445742197074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249445742197074,0.0,6,3,1030,5,9,82,0,0,0,0.6249445742197074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4604854757408371,0.0,5,3,1030,4,10,82,0,0,0,0.4604854757408371
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4604854757408371,0.0,5,3,1030,4,9,83,0,0,0,0.4604854757408371
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3782559265014018,0.0,5,3,1030,4,11,83,0,0,0,0.3782559265014018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782559265014018,0.0,5,2,1031,3,6,83,0,0,0,0.3782559265014018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9291939064056175,0.0,5,2,1031,5,7,84,0,0,0,0.9291939064056175
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9291939064056175,0.0,5,2,1031,4,10,84,0,0,0,0.9291939064056175
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9127479965577306,0.0,5,2,1031,5,11,83,0,0,0,0.9127479965577306
